n,estimate,ci95
500,0.0,0.006
1000,0.0,0.003
1500,0.0,0.002
2000,0.0,0.0015
2500,0.0,0.0012
3000,0.0,0.001
3500,0.0,0.0008571428571428571
4000,0.0,0.00075
4500,0.0,0.0006666666666666666
5000,0.0,0.0006
5500,0.0,0.0005454545454545455
6000,0.0,0.0005
6500,0.0,0.00046153846153846153
7000,0.0,0.00042857142857142855
7500,0.0,0.0004
8000,0.0,0.000375
8500,0.0,0.00035294117647058826
9000,0.0,0.0003333333333333333
9500,0.0,0.00031578947368421053
10000,0.0,0.0003
10500,0.0,0.00028571428571428574
11000,0.0,0.00027272727272727274
11500,0.0,0.0002608695652173913
12000,0.0,0.00025
12500,0.0,0.00024
13000,0.0,0.00023076923076923076
13500,0.0,0.00022222222222222223
14000,0.0,0.00021428571428571427
14500,0.0,0.00020689655172413793
15000,0.0,0.0002
15500,0.0,0.0001935483870967742
16000,0.0,0.0001875
16500,0.0,0.0001818181818181818
17000,0.0,0.00017647058823529413
17500,0.0,0.00017142857142857143
18000,0.0,0.00016666666666666666
18500,0.0,0.00016216216216216215
19000,0.0,0.00015789473684210527
19500,0.0,0.00015384615384615385
20000,0.0,0.00015
20500,0.0,0.00014634146341463414
21000,0.0,0.00014285714285714287
21500,0.0,0.00013953488372093022
22000,0.0,0.00013636363636363637
22500,0.0,0.00013333333333333334
23000,0.0,0.00013043478260869564
23500,0.0,0.0001276595744680851
24000,0.0,0.000125
24500,0.0,0.00012244897959183673
25000,0.0,0.00012
25500,0.0,0.00011764705882352942
26000,0.0,0.00011538461538461538
26500,0.0,0.00011320754716981132
27000,0.0,0.00011111111111111112
27500,0.0,0.00010909090909090909
28000,0.0,0.00010714285714285714
28500,0.0,0.00010526315789473685
29000,0.0,0.00010344827586206896
29500,0.0,0.00010169491525423729
30000,0.0,0.0001
30500,0.0,9.836065573770491e-05
31000,0.0,9.67741935483871e-05
31500,0.0,9.523809523809524e-05
32000,0.0,9.375e-05
32500,0.0,9.23076923076923e-05
33000,0.0,9.09090909090909e-05
33500,0.0,8.955223880597016e-05
34000,0.0,8.823529411764706e-05
34500,0.0,8.695652173913044e-05
35000,0.0,8.571428571428571e-05
35500,0.0,8.450704225352113e-05
36000,0.0,8.333333333333333e-05
36500,0.0,8.219178082191781e-05
37000,0.0,8.108108108108108e-05
37500,0.0,8e-05
38000,0.0,7.894736842105263e-05
38500,0.0,7.792207792207792e-05
39000,0.0,7.692307692307693e-05
39500,2.5316455696202533e-05,4.961962505611113e-05
40000,2.5e-05,4.8999387496171824e-05
40500,2.4691358024691357e-05,4.8394464254809046e-05
41000,2.4390243902439026e-05,4.780429505890798e-05
41500,2.4096385542168674e-05,4.7228346636142434e-05
42000,2.380952380952381e-05,4.666611110780419e-05
42500,2.3529411764705884e-05,4.611710449507832e-05
43000,2.325581395348837e-05,4.5580865329530694e-05
43500,2.2988505747126437e-05,4.5056953359422775e-05
44000,2.2727272727272726e-05,4.4544948344231275e-05
44500,2.2471910112359552e-05,4.4044448930435205e-05
45000,2.2222222222222223e-05,4.355507160224963e-05
45500,2.1978021978021977e-05,4.307644970154103e-05
46000,2.173913043478261e-05,4.260823251166062e-05
46500,2.150537634408602e-05,4.215008440038438e-05
47000,2.1276595744680852e-05,4.1701684017558705e-05
47500,2.105263157894737e-05,4.12627235434203e-05
